Sbj,Val,Aro,Eng,Vig
1,0.26301,0.23634,0.13569,0.95043
2,0.28108,0.24951,0.087755,1.2345
3,0.19106,0.23921,0.093198,0.80136
4,0.089524,0.081142,0.28291,0.61763
5,0.37662,0.24511,0.077199,0.38585
6,0.14467,0.16064,0.14884,0.9724
7,0.18005,0.14327,0.10304,0.18074
8,0.15671,0.25426,0.089536,1.3805
9,0.18742,0.43467,0.10212,1.9404
10,0.11134,0.18633,0.1192,0.64597
11,0.11381,0.14426,0.10815,0.42821
12,0.10524,0.1336,0.32488,0.38954
13,0.16456,0.082263,0.25444,0.22593
14,0.10662,0.090757,0.27374,0.69304
15,0.43282,0.20415,0.097907,0.80129
16,0.075809,0.096935,0.14805,0.30769
17,0.16833,0.17925,0.16535,0.86632
18,0.44534,0.55742,0.18696,3.4107
