sub_index,move speed,arm speed,proximity,automation,leadership,productivity,emo,cog
0,125.95,81.427,0,0,0,261.05,2,2
1,139.14,89.986,0,0,1,298.73,2,2
2,124.4,92.554,0,0,0,266.73,2,2
3,115.48,50.331,0,0,0,224.29,2,2
4,143.8,109.1,0,0,1,314.64,2,2
5,100.74,57.749,0,0,0,222.07,2,2
6,117.03,103.11,0,0,1,287.08,2,2
7,143.8,109.1,0,0,1,314.64,2,2
8,143.8,89.986,0,0,1,302.29,2,2
9,112.38,81.142,0,0,1,268.94,2,1
10,86.382,109.1,0,0,1,252.43,2,2
11,100.35,65.452,0,1,1,202.87,2,2
12,80.951,78.86,0,0,1,231.08,2,2
13,128.28,96.262,0,0,1,293.92,2,2
14,130.22,77.148,0,0,1,281.35,2,2
15,100.74,102.25,0,0,0,249.96,2,2
16,73.191,82.283,0,1,1,187,2,2
17,143.8,97.974,0,0,1,307.91,2,1
