6.52E-01,-1.33E-04,9.96E-03,-3.61E-04,3.43E-02,-9.13E-01,8.27E-02,-3.68E-01,-4.08E-03,1.15E+00,2.73E-01,1.22E+00
9.81E-01,-1.04E-05,1.23E-02,5.25E-04,-6.06E-02,2.29E-01,1.89E-01,-1.44E-01,-2.47E-03,1.38E+00,2.82E-01,1.58E+00
-1.56E+00,-1.65E-04,1.97E-02,-2.04E-04,3.70E-02,1.51E-02,-5.32E-03,-5.35E-01,5.83E-04,1.21E+00,2.62E-01,1.18E+00
4.72E+00,1.49E-04,-2.33E-02,8.90E-04,-1.18E-01,1.57E+00,1.26E-01,-6.13E-01,5.66E-04,3.02E-01,1.02E-01,4.21E-01
-1.20E+00,-7.63E-05,1.75E-02,2.83E-04,-1.57E-02,6.93E-01,4.46E-01,-8.78E-03,-1.58E-03,1.13E+00,2.82E-01,1.29E+00
2.60E+00,6.11E-05,-2.30E-02,1.63E-05,-1.31E-02,-5.15E-01,-5.51E-01,6.08E-02,-2.14E-03,9.83E-01,1.73E-01,9.57E-01
-2.06E+00,-1.31E-04,2.88E-02,-1.78E-04,2.45E-02,-8.60E-01,-4.01E-01,3.85E-01,-2.43E-03,9.19E-01,1.52E-01,8.57E-01
-2.59E+00,-6.78E-05,1.89E-02,-1.79E-04,2.76E-02,7.80E-01,1.06E+00,4.34E-01,-1.15E-04,1.14E+00,2.88E-01,1.29E+00
-2.14E+00,-1.46E-04,3.24E-02,1.27E-04,2.28E-03,7.92E-01,8.24E-01,-6.17E-01,8.22E-04,1.40E+00,5.16E-01,1.75E+00
-2.54E+00,-1.49E-04,1.67E-02,-4.38E-04,5.82E-02,-7.22E-01,-3.58E-01,7.04E-01,-6.57E-04,8.51E-01,2.02E-01,6.69E-01
1.85E+00,5.28E-05,-1.51E-02,1.29E-04,-1.95E-02,1.54E+00,4.53E-02,-3.48E-01,-8.75E-04,8.87E-01,1.60E-01,1.04E+00
2.08E+00,6.76E-05,-4.01E-03,2.98E-04,-2.86E-02,3.07E-01,7.18E-01,-2.24E+00,9.35E-04,4.59E-01,1.76E-01,6.90E-01
1.29E+00,1.52E-04,-3.01E-02,3.81E-04,-3.37E-02,2.16E-01,1.01E-01,6.39E-01,-1.28E-03,4.34E-01,9.18E-02,4.48E-01
1.99E-01,7.63E-05,-1.05E-02,-1.73E-04,5.32E-03,1.13E+00,-8.03E-01,9.86E-01,-1.18E-03,3.90E-01,1.10E-01,4.00E-01
-3.74E+00,-2.46E-04,3.92E-02,-2.78E-04,5.42E-02,-2.50E-01,-6.80E-01,3.12E-01,-1.51E-03,1.11E+00,2.34E-01,9.78E-01
2.37E+00,1.31E-04,-3.75E-02,5.65E-05,-4.99E-03,-2.65E-01,8.49E-01,-1.92E-01,-6.80E-04,4.99E-01,1.08E-01,5.44E-01
-5.76E-01,-1.38E-05,-1.24E-03,1.47E-04,3.23E-03,-7.00E-01,1.84E-01,1.56E-01,-2.35E-03,6.20E-01,1.98E-01,6.14E-01
-1.48E+00,-2.66E-05,1.71E-02,1.43E-04,-1.23E-03,1.37E-01,-1.43E-02,-3.59E-01,-5.94E-04,1.85E+00,6.25E-01,2.03E+00
