Coeffs,,,,,,,,,EEG Mean,EEG STD,GT Centroids,,
1.30E+00,1.89E-04,-2.68E-02,3.69E-04,-3.93E-02,1.07E-01,5.16E-02,1.86E-01,9.97E-04,3.56E-01,1.46E-01,3.07E-01,3.78E-01,4.62E-01
1.40E-02,-5.58E-06,-4.49E-03,-5.73E-05,1.21E-02,-5.63E-01,-7.34E-01,-2.91E-01,1.55E-03,3.47E-01,9.24E-02,2.23E-01,2.83E-01,3.43E-01
1.21E+00,5.39E-05,2.55E-03,1.89E-04,-4.29E-02,-2.70E-01,5.23E-01,3.94E-01,-8.54E-04,3.71E-01,1.07E-01,3.22E-01,4.11E-01,5.06E-01
-1.41E-01,5.70E-05,-7.52E-03,-4.72E-05,1.13E-02,-2.99E-01,1.10E+00,-3.15E-01,5.64E-05,8.82E-01,3.03E-01,8.29E-01,1.05E+00,1.23E+00
5.55E+00,3.40E-04,-5.96E-02,1.72E-04,-3.89E-02,-2.75E-01,-7.83E-02,-1.05E+00,-2.62E-03,4.34E-01,9.20E-02,4.32E-01,5.16E-01,6.04E-01
1.25E+00,6.43E-05,7.74E-03,5.83E-04,-7.64E-02,-1.55E-01,1.14E-01,-9.17E-02,3.80E-04,4.93E-01,1.83E-01,3.99E-01,5.50E-01,7.12E-01
2.74E+00,2.49E-04,-3.79E-02,2.44E-04,-3.61E-02,1.68E+00,7.90E-01,-7.37E-01,1.77E-03,5.85E-01,1.22E-01,5.95E-01,7.51E-01,9.00E-01
-1.05E+00,-1.19E-04,1.80E-02,-9.79E-05,1.73E-02,-1.77E-01,-9.60E-01,-2.04E-01,6.18E-05,3.16E-01,9.41E-02,2.06E-01,2.46E-01,3.16E-01
3.47E+00,2.04E-04,-4.59E-02,7.99E-05,-3.04E-02,-2.53E-01,-6.99E-01,6.17E-01,3.36E-04,3.13E-01,1.26E-01,1.34E-01,2.55E-01,3.84E-01
2.58E+00,1.34E-04,-1.45E-02,3.46E-04,-5.47E-02,4.32E-01,2.82E-01,-3.50E-01,-4.47E-04,5.38E-01,1.28E-01,5.69E-01,6.47E-01,7.36E-01
-4.91E+00,-2.47E-04,5.30E-02,-3.26E-04,5.15E-02,-1.73E+00,-3.84E-01,3.40E-01,2.39E-03,5.07E-01,1.28E-01,1.27E-01,2.63E-01,4.45E-01
-4.88E-01,-1.32E-04,1.31E-02,-1.47E-05,-1.01E-02,-3.47E-01,-3.91E-02,8.90E-01,2.60E-03,1.17E+00,3.65E-01,5.00E-01,7.93E-01,1.08E+00
6.38E-01,-7.35E-05,7.28E-03,-3.16E-05,-9.00E-03,1.80E-01,3.16E-01,4.78E-02,1.99E-04,9.53E-01,2.68E-01,8.49E-01,9.87E-01,1.12E+00
-8.19E-01,-1.20E-04,1.95E-02,-7.12E-05,1.67E-02,-6.42E-01,-7.97E-02,-7.60E-01,1.82E-04,6.25E-01,2.92E-01,3.91E-01,5.99E-01,7.96E-01
4.97E+00,2.44E-04,-4.04E-02,5.16E-04,-7.53E-02,9.72E-02,7.50E-01,-8.01E-01,-1.04E-03,3.95E-01,1.08E-01,4.41E-01,5.28E-01,6.19E-01
-2.46E+00,-1.78E-04,4.41E-02,-6.91E-05,-6.13E-04,-8.41E-01,-1.04E+00,6.53E-01,9.81E-04,7.28E-01,1.72E-01,3.22E-01,5.20E-01,7.10E-01
4.78E+00,2.71E-04,-4.25E-02,3.58E-04,-6.59E-02,1.37E-01,1.80E-01,-5.30E-01,-1.56E-04,7.28E-01,1.92E-01,7.54E-01,8.93E-01,1.06E+00
-1.15E+00,-7.32E-05,1.36E-02,-1.51E-04,9.50E-03,-6.98E-01,-3.35E-02,7.29E-01,7.02E-04,2.70E-01,1.97E-01,7.49E-04,1.54E-01,2.92E-01
