Coeffs,,,,,,,,,EEG Mean,EEG STD,GT Mean
2.31E+00,-3.60E-05,3.15E-03,2.33E-04,-3.47E-02,3.31E-01,6.85E-01,-1.37E+00,5.74E-04,2.65E-01,2.93E-01,5.47E-01
-1.01E+00,-9.21E-05,1.67E-02,2.06E-05,7.71E-03,-6.05E-02,1.13E-01,-3.70E-01,-1.24E-04,4.05E-01,2.90E-01,4.32E-01
-4.77E+00,-3.11E-04,5.99E-02,-4.20E-04,6.19E-02,-1.06E+00,-1.62E+00,5.18E-01,-1.80E-03,7.15E-03,2.42E-01,-3.21E-01
6.21E+00,2.16E-04,-4.49E-02,8.48E-04,-1.17E-01,1.48E+00,9.23E-01,-9.02E-01,1.16E-03,1.74E-01,1.09E-01,3.34E-01
6.83E-01,-2.44E-05,-3.01E-03,2.83E-04,-2.63E-02,7.73E-01,1.03E-01,-3.32E-02,2.79E-04,-7.91E-02,4.05E-01,4.74E-02
-2.19E+00,-1.37E-04,1.81E-02,-5.99E-04,6.49E-02,4.74E-01,-3.03E-01,2.13E-01,7.93E-04,-8.59E-03,1.67E-01,-5.99E-02
2.30E+00,1.41E-04,-3.27E-02,2.38E-04,-2.45E-02,-1.71E-02,2.80E-01,-3.93E-01,8.96E-04,-9.07E-02,1.90E-01,-5.35E-02
1.07E+00,6.56E-05,-1.17E-02,1.04E-04,-1.57E-02,-4.44E-01,4.71E-01,-2.92E-02,-3.73E-05,-1.51E-02,1.60E-01,1.42E-03
3.13E+00,1.91E-04,-3.56E-02,6.45E-05,-1.91E-02,4.91E-01,-4.53E-01,-3.91E-01,-1.39E-03,-1.15E-01,2.00E-01,-8.76E-04
-6.63E+00,-3.67E-04,5.96E-02,-7.57E-04,1.03E-01,-7.34E-01,-1.72E+00,1.49E+00,-1.33E-04,4.55E-02,1.54E-01,-2.73E-01
9.49E-01,6.11E-06,-1.30E-02,-1.12E-04,6.92E-03,-5.76E-01,-4.09E-01,7.10E-01,-2.85E-03,2.01E-01,1.22E-01,1.57E-01
1.71E+00,1.75E-04,-2.61E-02,2.74E-04,-3.12E-02,2.76E-01,1.63E+00,-1.22E-01,-1.02E-03,8.95E-02,1.20E-01,2.29E-01
1.64E+00,1.28E-04,-3.75E-02,1.84E-04,-1.88E-02,-3.72E-01,-2.24E-01,9.00E-01,2.88E-04,7.92E-03,1.92E-01,-1.19E-01
-4.13E-01,4.40E-05,-8.78E-03,-4.03E-05,7.18E-03,-4.87E-01,2.84E-01,6.27E-01,-2.00E-04,-2.72E-02,1.10E-01,-6.09E-02
-3.52E+00,-1.22E-04,2.44E-02,-4.12E-04,5.53E-02,-5.50E-01,-5.59E-01,6.04E-01,1.37E-03,-3.94E-01,4.50E-01,-8.98E-01
3.44E-01,-6.20E-05,1.55E-03,1.74E-07,4.74E-03,9.25E-01,5.69E-01,-5.92E-01,3.32E-04,-1.73E-01,8.37E-02,-1.13E-01
-7.98E-01,2.53E-05,-1.07E-02,-1.85E-04,2.83E-02,-3.35E-01,1.63E-01,2.05E-01,1.84E-03,-2.03E-01,1.74E-01,-2.95E-01
-3.60E-02,3.77E-05,1.21E-03,1.18E-04,-2.27E-03,8.65E-01,5.79E-01,-6.14E-01,-2.24E-03,1.04E+00,4.93E-01,1.66E+00
