2.3063,-3.5993e-05,0.0031521,0.00023303,-0.034747,0.33139,0.68526,-1.3664,0.00057374,0.26528,0.2934
-0.34747,-5.3506e-05,0.011509,0.00012305,-0.0045466,0.23575,0.24492,-0.46807,-0.0012316,0.46728,0.2702
-4.234,-0.00025762,0.049569,-0.00046478,0.067981,-1.2201,-1.5978,0.20229,-0.001579,0.02764,0.23612
6.0684,0.00021501,-0.04479,0.00082283,-0.11294,1.4746,0.90649,-0.89587,0.0011822,0.17414,0.11063
0.41836,-2.9698e-05,-0.0012207,0.00029162,-0.026606,0.91531,0.046707,0.083742,0.00040871,-0.062353,0.40987
-2.6343,-0.00015972,0.02306,-0.00062943,0.068902,0.34355,-0.33921,0.30028,0.00097548,-0.017132,0.16828
2.4425,0.00014117,-0.032109,0.00028867,-0.030164,-0.080515,0.29062,-0.49007,0.0010771,-0.11915,0.18113
1.2673,8.5717e-05,-0.014935,5.1251e-05,-0.011982,-0.4529,0.32671,0.0075108,-0.00050152,-0.0064319,0.16413
2.833,0.0001717,-0.031991,3.3366e-05,-0.014972,0.4871,-0.45871,-0.34755,-0.0015812,-0.10075,0.20385
-6.5717,-0.00035385,0.059045,-0.00071413,0.098691,-0.68386,-1.6233,1.4416,-3.217e-06,0.053227,0.15963
0.098095,-1.5237e-05,-0.0091056,-0.00020996,0.019375,-0.067898,-0.39382,0.89663,-0.0020216,0.17693,0.11236
2.432,0.00018631,-0.030395,0.00029679,-0.035138,0.3185,1.4664,-0.27312,-0.0019771,0.089916,0.13919
2.5827,0.0001926,-0.046932,0.00025099,-0.028967,-0.34049,0.038314,0.66869,-0.00022942,-0.0031747,0.19808
